Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13104,JP Morgan,"Lead Teller â Operations Specialist Trainee - Lynnwood, Bothell, Northgate, WA & Surrounding Areas (WWA)",Big Data,31,Fintech
13105,JP Morgan,CIB - Business Intelligence Group - Data Analyst - Associate,﻿Payments,31,Fintech
13106,JP Morgan,"Private Client Banker- Washington and Dove- San Diego, CA",﻿Payments,31,Fintech
13107,JP Morgan,Commercial Banking - Middle Market Banking Specialized Industries - Commercial Banker - VP/ED Allentown,﻿Payments,38,Fintech
13108,JP Morgan,Commercial Bank - Data Analysis & Reporting - Vice President,Big Data,35,Fintech
13109,JP Morgan,Commercial Bank - Data Analysis & Reporting - Vice President,Big Data,35,Fintech
13110,JP Morgan,Commercial Bank - Data Analysis & Reporting - Vice President,Big Data,35,Fintech
13111,JP Morgan,Commercial Bank - Data Analysis & Reporting - Vice President,Big Data,35,Fintech
13112,JP Morgan,Commercial Bank - Data Analysis & Reporting - Vice President,Big Data,35,Fintech
13113,JP Morgan,"Relationship Banker- College Bridge- Oceanside, CA",Big Data,55,Fintech
13114,JP Morgan,Senior Java Software Engineer,﻿Payments,45,Fintech
13115,JP Morgan,Executive Director - International Product Specialist Corporate Client Banking - Commercial New York,﻿Payments,52,Fintech
13116,JP Morgan,"Teller (Part-time) - Springfield, IL (Central IL Market)",Big Data,43,Fintech
13117,JP Morgan,"Teller (Part-time) - Springfield, IL (Central IL Market)",Big Data,43,Fintech
13118,JP Morgan,"Teller (Part-time) - Springfield, IL (Central IL Market)",Big Data,43,Fintech
13119,JP Morgan,Audit - Corporate Functions - AML/KYC Auditor - Associate,﻿Payments,17,Fintech
13120,JP Morgan,Audit - Corporate Functions - AML/KYC Auditor - Associate,﻿Payments,17,Fintech
13121,JP Morgan,Software Engineering - Full Stack Developer (Java),Non-FinTech,8,Nonfintech
13122,JP Morgan,Software Engineering - Full Stack Developer (Java),Non-FinTech,13,Nonfintech
13123,JP Morgan,"Sr Home Lending Advisor - Columbia City, IN - Columbia City Branch",﻿Payments,30,Fintech
13124,JP Morgan,"Chase Wealth Management - Private Client Advisor - Centerville, OH (Washington Centerville)",﻿Payments,29,Fintech
13125,JP Morgan,"VP, Production Support Manager",Big Data,47,Fintech
13126,JP Morgan,"Treasury Services Sales Associate (Healthcare, Higher Education, and Not-for-Profit - Commercial Bank - Chicago, IL",﻿Payments,54,Fintech
